ID,Name,English,On,Off,Total,Daily,Point,Address,tm2_x,tm2_y,latitude,longitude
A58,斗六,Douliu,"2,042,255","2,041,106","4,083,361",11187.0,Point (203219.50800000037997961 2623166.18999999947845936),雲林縣斗六市信義里民生路187號,203219.50800000038,2623166.1899999995,23.71165983010849,120.54122264260594
A59,斗南,Dounan,"747,390","745,576","1,492,966",4090.0,Point (197023.20399999991059303 2618862.83699999935925007),雲林縣斗南鎮南昌里中山路2號,197023.2039999999,2618862.8369999994,23.67261032741845,120.48061090087907
I11,新城,Xincheng,"180,834","177,748","358,582",982.0,Point (315123.32449999958043918 2669297.46469999989494681),花蓮縣新城鄉新興一路73號,315123.3244999996,2669297.4647,24.127546194287916,121.64070962707447
A38,新埔,Xinpu,"26,830","29,074","55,904",153.0,Point (219120.71899999957531691 2714881.34400000050663948),苗栗縣通霄鎮新埔里新埔57號,219120.71899999958,2714881.3440000005,24.540167322441537,120.69520831211199
A242,新富,Xinfu,"133,528","133,311","266,839",731.0,Point (256847.63900000043213367 2758158.20700000040233135),桃園市楊梅區富豐里富全街1號,256847.63900000043,2758158.2070000004,24.931193794984498,121.0678009892509
A874,新左營,Xinzuoying,"4,569,093","4,567,775","9,136,868",25033.0,Point (178773.23290000125416555 2509850.2708999989554286),高雄市左營區站前北路1號,178773.23290000125,2509850.270899999,22.687538916618102,120.30678526441022
A75,新市,Xinshi,"815,074","799,749","1,614,823",4424.0,Point (177249.78010000014910474 2552006.72450000047683716),臺南市新市區中華路1號,177249.78010000015,2552006.7245000005,23.068154424911242,120.28998251020882
T134,新烏日,Xinwuri,"3,117,915","2,950,775","6,068,690",16627.0,Point (210790.50210000047809444 2667233.37529999949038029),臺中市烏日區高鐵東一路26號,210790.50210000048,2667233.3752999995,24.109765828286054,120.61429094644382
A69,新營,Xinying,"1,849,718","1,859,391","3,709,109",10162.0,Point (180774.25049999915063381 2578421.75110000092536211),臺南市新營區中山路1號,180774.25049999915,2578421.751100001,23.30683001810746,120.32317917593849
A29,新竹,Hsinchu,"7,379,627","7,401,663","14,781,290",40497.0,Point (247131.80900000035762787 2743794.321000000461936),新竹市東區榮光里中華路二段445號,247131.80900000036,2743794.3210000005,24.80152154052093,120.97163059255769
V004,新莊,Xinzhuang,"776,214","794,996","1,571,210",4305.0,Point (252225.36699999962002039 2742312.75999999977648258),新竹市東區新莊里關東路310號,252225.36699999962,2742312.76,24.78814614438557,121.02200884582359
A26,新豐,Xinfeng,"2,131,295","2,166,030","4,297,325",11773.0,Point (249685.23900000005960464 2751356.51799999922513962),新竹縣新豐鄉員山村新興路202號,249685.23900000006,2751356.517999999,24.86980011044534,120.99688497647443
E24,新馬,Xinma,0,0,0,0.0,Point (333322.63300000037997961 2723428.15200000070035458),宜蘭縣蘇澳鎮中山路二段322號,333322.6330000004,2723428.1520000007,24.61539314742126,121.82290519261748
A41,日南,Rinan,"122,641","121,708","244,349",669.0,Point (214915.98959999982616864 2696937.83320000022649765),臺中市大甲區中山路二段140巷8號,214915.98959999983,2696937.8332,24.37806813600157,120.65414903987964
I12,景美,Jingmei,"4,910","4,199","9,109",25.0,Point (312113.71910000068601221 2665168.62609999906271696),花蓮縣秀林鄉加灣178-1號,312113.7191000007,2665168.626099999,24.090388529948328,121.6109243369887
E01,暖暖,Nuannuan,"195,309","198,383","393,692",1079.0,Point (324699.76599999982863665 2777298.52099999971687794),基隆市暖暖區暖暖街51號,324699.7659999998,2777298.5209999997,25.102165615952508,121.7406416392875
N021,望古,Wanggu,"8,247","11,364","19,611",54.0,Point (327078.54999999981373549 2769824.83999999985098839),新北市平溪區(無站房),327078.5499999998,2769824.84,25.03457736436525,121.76380690411108
P16,東海,Donghai,"27,088","53,564","80,652",221.0,Point (205970.46470000129193068 2477791.49589999997988343),屏東縣枋寮鄉西安路92號,205970.4647000013,2477791.4959,22.398943525799268,120.572367776133
I03,東澳,Dong'ao,"62,047","65,727","127,774",350.0,Point (334173.79399999976158142 2712669.47100000083446503),宜蘭縣南澳鄉東岳村1號,334173.79399999976,2712669.471000001,24.518218094287224,121.83067023232688
M31,東竹,Dongzhu,"3,359","3,062","6,421",18.0,Point (278495.86389999923994765 2569338.54410000052303076),花蓮縣富里鄉新興村新興26號,278495.86389999924,2569338.5441000005,23.22601907649376,121.27844010537211
